municipio,populacao,PIB
Abadia dos Dourados,6365.0,176773.658
Abaeté,23161.0,541239.206
Abre Campo,14312.0,262686.538
Acaiaca,3997.0,64907.018
Açucena,8995.0,165823.625
Água Boa,12545.0,192074.169
Água Comprida,2165.0,229830.864
Aguanil,4490.0,94614.885
Águas Formosas,18841.0,287599.466
Águas Vermelhas,14486.0,236648.589
Aimorés,26165.0,638010.261
Aiuruoca,6382.0,128548.904
Alagoa,2816.0,47717.043
Albertina,3023.0,153961.137
Além Paraíba,31333.0,971810.323
Alfenas,81950.0,3485866.713
Alfredo Vasconcelos,7184.0,150663.068
Almenara,41894.0,674899.706
Alpercata,7029.0,94596.97
Alpinópolis,18672.0,524217.704
Alterosa,14253.0,296524.613
Alto Caparaó,5982.0,97111.413
Alto Rio Doce,10994.0,180131.854
Alvarenga,4012.0,54647.953
Alvinópolis,15360.0,340215.442
Alvorada de Minas,4322.0,64854.954
Amparo do Serra,4595.0,55925.546
Andradas,42282.0,1183812.146
Cachoeira de Pajeú,9333.0,125598.21
Andrelândia,12169.0,291936.906
Angelândia,7860.0,144540.822
Antônio Carlos,11345.0,241904.112
Antônio Dias,9388.0,894623.501
Antônio Prado de Minas,1558.0,28570.863
Araçaí,2224.0,59997.818
Aracitaba,2095.0,31361.546
Araçuaí,35250.0,520019.061
Araguari,122874.0,5837822.895
Arantina,2991.0,88541.803
Araponga,8218.0,122295.534
Araporã,8935.0,1294616.067
Arapuá,2674.0,172815.559
Araújos,9556.0,474337.16
Araxá,117677.0,8950862.76
Arceburgo,9348.0,346704.206
Arcos,43348.0,2346520.112
Areado,14212.0,309348.258
Argirita,2725.0,40091.914
Aricanduva,4820.0,67083.989
Arinos,17598.0,318619.595
Astolfo Dutra,14565.0,292035.399
Ataléia,13967.0,199016.142
Augusto de Lima,4593.0,89041.12
Baependi,18768.0,381042.347
Baldim,7614.0,201276.81
Bambuí,24144.0,780013.333
Bandeira,4821.0,59115.718
Bandeira do Sul,6146.0,86583.393
Barão de Cocais,32095.0,2439013.388
Barão de Monte Alto,4991.0,63114.535
Barbacena,129630.0,3523134.929
Barra Longa,5740.0,81927.458
Barroso,20566.0,608920.777
Bela Vista de Minas,10412.0,568259.822
Belmiro Braga,3299.0,61570.579
Belo Horizonte,2416339.0,105829675.053
Belo Oriente,24503.0,2114721.515
Belo Vale,8946.0,279905.901
Berilo,9769.0,112831.874
Bertópolis,4546.0,53791.989
Berizal,4277.0,61025.776
Betim,429236.0,33132919.131
Bias Fortes,3388.0,41578.45
Bicas,14331.0,277609.017
Biquinhas,2409.0,64479.065
Boa Esperança,41332.0,1058550.132
Bocaina de Minas,5508.0,80220.794
Bocaiúva,49668.0,1225284.399
Bom Despacho,53995.0,1814096.238
Bom Jardim de Minas,6968.0,127773.881
Bom Jesus da Penha,4642.0,196095.721
Bom Jesus do Amparo,5775.0,160334.117
Bom Jesus do Galho,14756.0,171128.461
Bom Repouso,13183.0,160231.561
Bom Sucesso,17510.0,445077.839
Bonfim,7672.0,135482.47
Bonfinópolis de Minas,5615.0,458718.721
Bonito de Minas,10491.0,101039.237
Borda da Mata,17811.0,374864.649
Botelhos,15137.0,325925.798
Botumirim,5841.0,75752.999
Brasilândia de Minas,15432.0,415094.748
Brasília de Minas,33188.0,377425.427
Brás Pires,4314.0,50032.229
Braúnas,4475.0,213083.99
Brazópolis,14506.0,198031.999
Brumadinho,40777.0,4624938.325
Bueno Brandão,11161.0,240738.442
Buenópolis,9229.0,180724.998
Bugre,4149.0,47558.457
Buritis,24693.0,1164015.292
Buritizeiro,24068.0,736130.19
Cabeceira Grande,6797.0,477388.255
Cabo Verde,11396.0,290842.69
Cachoeira da Prata,3781.0,51864.184
Cachoeira de Minas,12248.0,537009.365
Cachoeira Dourada,2346.0,269619.371
Caetanópolis,11832.0,315264.292
Caeté,39850.0,1074938.139
Caiana,5463.0,88655.637
Cajuri,4186.0,97321.404
Caldas,14588.0,337663.037
Camacho,2867.0,70874.017
Camanducaia,27551.0,990372.51
Cambuí,30870.0,1865719.031
Cambuquira,12560.0,370862.016
Campanário,2917.0,53463.895
Campanha,16334.0,439876.708
Campestre,21143.0,486392.176
Campina Verde,18250.0,536834.437
Campo Azul,3802.0,40661.5
Campo Belo,53943.0,1244646.672
Campo do Meio,11624.0,231132.103
Campo Florido,8838.0,710907.242
Campos Altos,13136.0,434286.465
Campos Gerais,26809.0,704549.965
Canaã,4832.0,77460.174
Canápolis,10755.0,678011.968
Cana Verde,5356.0,80137.709
Candeias,14236.0,371149.374
Cantagalo,4039.0,56760.891
Caparaó,5144.0,97624.36
Capela Nova,4416.0,62475.896
Capelinha,41536.0,888063.358
Capetinga,6652.0,207279.537
Capim Branco,11105.0,123379.12
Capinópolis,14899.0,666601.289
Capitão Andrade,4650.0,60812.622
Capitão Enéas,14401.0,501517.827
Capitólio,10863.0,328449.372
Caputira,9128.0,143750.97
Caraí,19654.0,210428.036
Caranaíba,2960.0,41483.206
Carandaí,24368.0,751899.12
Carangola,32165.0,639260.235
Caratinga,90687.0,2283288.08
Carbonita,8633.0,220681.956
Careaçu,7029.0,174196.694
Carlos Chagas,18852.0,474792.026
Carmésia,2682.0,39788.307
Carmo da Cachoeira,11776.0,321642.557
Carmo da Mata,11279.0,265730.041
Carmo de Minas,14114.0,290443.145
Carmo do Cajuru,24376.0,629040.312
Carmo do Paranaíba,29899.0,1060224.385
Carmo do Rio Claro,21464.0,694617.337
Carmópolis de Minas,18498.0,461604.433
Carneirinho,9630.0,407481.017
Carrancas,4153.0,177651.275
Carvalhópolis,3417.0,71386.916
Carvalhos,4507.0,80637.898
Casa Grande,2260.0,69241.195
Cascalho Rico,2757.0,80003.577
Cássia,17495.0,436434.833
Conceição da Barra de Minas,3596.0,68733.474
Cataguases,67872.0,1651609.202
Catas Altas,5668.0,5032357.626
Catas Altas da Noruega,3141.0,40793.291
Catuji,7226.0,83288.861
Catuti,4805.0,56843.974
Caxambu,21436.0,371034.549
Cedro do Abaeté,1091.0,22406.179
Central de Minas,6243.0,87070.842
Centralina,10440.0,351070.311
Chácara,3177.0,47151.271
Chalé,6261.0,114181.174
Chapada do Norte,10024.0,111127.088
Chapada Gaúcha,12810.0,403117.777
Chiador,2865.0,37253.468
Cipotânea,5599.0,73305.794
Claraval,4777.0,182017.064
Claro dos Poções,7259.0,83730.399
Cláudio,31665.0,1118679.534
Coimbra,7285.0,139845.278
Coluna,8251.0,121196.119
Comendador Gomes,2813.0,154809.443
Comercinho,6627.0,68128.54
Conceição da Aparecida,10668.0,274176.557
Conceição das Pedras,2837.0,61042.857
Conceição das Alagoas,29949.0,1318366.994
Conceição de Ipanema,4503.0,81015.659
Conceição do Mato Dentro,24254.0,9051035.533
Conceição do Pará,5567.0,494122.167
Conceição do Rio Verde,12780.0,343578.476
Conceição dos Ouros,11183.0,225127.162
Cônego Marinho,7420.0,63480.188
Confins,7676.0,485731.797
Congonhal,11403.0,220410.748
Congonhas,54986.0,4115643.68
