municipio,populacao,PIB,area_ha
Abadia dos Dourados,6365.0,176773.658,37.8671050649095
Abaeté,23161.0,541239.206,21.020223556525444
Abre Campo,14312.0,262686.538,0.0
Acaiaca,3997.0,64907.018,0.0
Açucena,8995.0,165823.625,0.0
Água Boa,12545.0,192074.169,36.11359887958017
Água Comprida,2165.0,229830.864,163.19696518032225
Aguanil,4490.0,94614.885,0.0
Águas Formosas,18841.0,287599.466,26.278577788971965
Águas Vermelhas,14486.0,236648.589,127.68184551000549
Aimorés,26165.0,638010.261,122.54569246384555
Aiuruoca,6382.0,128548.904,0.0
Alagoa,2816.0,47717.043,0.0
Albertina,3023.0,153961.137,0.0
Além Paraíba,31333.0,971810.323,33.274894734734815
Alfenas,81950.0,3485866.713,16.502817414229707
Alfredo Vasconcelos,7184.0,150663.068,32.21305738205056
Almenara,41894.0,674899.706,9.079250010676901
Alpercata,7029.0,94596.97,0.0
Alpinópolis,18672.0,524217.704,0.0
Alterosa,14253.0,296524.613,0.0
Alto Caparaó,5982.0,97111.413,0.0
Alto Rio Doce,10994.0,180131.854,0.0
Alvarenga,4012.0,54647.953,0.0
Alvinópolis,15360.0,340215.442,10.304074322493253
Alvorada de Minas,4322.0,64854.954,0.0
Amparo do Serra,4595.0,55925.546,6.446478872397141
Andradas,42282.0,1183812.146,3.06240399222879
Cachoeira de Pajeú,9333.0,125598.21,37.25562731985414
Andrelândia,12169.0,291936.906,6.083899466467757
Angelândia,7860.0,144540.822,0.0
Antônio Carlos,11345.0,241904.112,0.0
Antônio Dias,9388.0,894623.501,11.049712983047428
Antônio Prado de Minas,1558.0,28570.863,0.0
Araçaí,2224.0,59997.818,33.74395061156857
Aracitaba,2095.0,31361.546,0.0
Araçuaí,35250.0,520019.061,64.8427928819496
Araguari,122874.0,5837822.895,187.85773704410582
Arantina,2991.0,88541.803,0.0
Araponga,8218.0,122295.534,0.0
Araporã,8935.0,1294616.067,330.76556230904924
Arapuá,2674.0,172815.559,7.583962373831957
Araújos,9556.0,474337.16,0.0
Araxá,117677.0,8950862.76,68.84154298698424
Arceburgo,9348.0,346704.206,0.0
Arcos,43348.0,2346520.112,6.747546815922361
Areado,14212.0,309348.258,0.0
Argirita,2725.0,40091.914,12.650960256470327
Aricanduva,4820.0,67083.989,0.0
Arinos,17598.0,318619.595,188.66192382593985
Astolfo Dutra,14565.0,292035.399,0.0
Ataléia,13967.0,199016.142,607.2069470456462
Augusto de Lima,4593.0,89041.12,145.1336617879355
Baependi,18768.0,381042.347,3.5006014331424136
Baldim,7614.0,201276.81,0.0
Bambuí,24144.0,780013.333,155.27108671585117
Bandeira,4821.0,59115.718,0.0
Bandeira do Sul,6146.0,86583.393,0.0
Barão de Cocais,32095.0,2439013.388,0.0
Barão de Monte Alto,4991.0,63114.535,4.69692989784623
Barbacena,129630.0,3523134.929,8.606786983281046
Barra Longa,5740.0,81927.458,7.093879206393709
Barroso,20566.0,608920.777,0.0
Bela Vista de Minas,10412.0,568259.822,0.0
Belmiro Braga,3299.0,61570.579,0.0
Belo Horizonte,2416339.0,105829675.053,59.573762449955765
Belo Oriente,24503.0,2114721.515,0.0
Belo Vale,8946.0,279905.901,2.2997944896107008
Berilo,9769.0,112831.874,0.0
Bertópolis,4546.0,53791.989,7.071926149568435
Berizal,4277.0,61025.776,34.0841231568325
Betim,429236.0,33132919.131,0.0
Bias Fortes,3388.0,41578.45,0.0
Bicas,14331.0,277609.017,0.0
Biquinhas,2409.0,64479.065,0.0
Boa Esperança,41332.0,1058550.132,12.852291553142873
Bocaina de Minas,5508.0,80220.794,0.0
Bocaiúva,49668.0,1225284.399,340.50603499766277
Bom Despacho,53995.0,1814096.238,0.0
Bom Jardim de Minas,6968.0,127773.881,0.0
Bom Jesus da Penha,4642.0,196095.721,0.0
Bom Jesus do Amparo,5775.0,160334.117,0.0
Bom Jesus do Galho,14756.0,171128.461,2.7563866006293103
Bom Repouso,13183.0,160231.561,0.0
Bom Sucesso,17510.0,445077.839,4.836939795970979
Bonfim,7672.0,135482.47,0.0
Bonfinópolis de Minas,5615.0,458718.721,447.9492725900138
Bonito de Minas,10491.0,101039.237,11.72928785593705
Borda da Mata,17811.0,374864.649,2.8829175397939633
Botelhos,15137.0,325925.798,1.9121591443004948
Botumirim,5841.0,75752.999,25.240422693840777
Brasilândia de Minas,15432.0,415094.748,132.71646852624838
Brasília de Minas,33188.0,377425.427,33.11792354862634
Brás Pires,4314.0,50032.229,0.0
Braúnas,4475.0,213083.99,20.55930292331427
Brazópolis,14506.0,198031.999,0.0
Brumadinho,40777.0,4624938.325,0.0
Bueno Brandão,11161.0,240738.442,1.758807449726706
Buenópolis,9229.0,180724.998,64.76921581462963
Bugre,4149.0,47558.457,0.0
Buritis,24693.0,1164015.292,830.9490170277531
Buritizeiro,24068.0,736130.19,206.45489079557808
Cabeceira Grande,6797.0,477388.255,412.9632573251349
Cabo Verde,11396.0,290842.69,0.0
Cachoeira da Prata,3781.0,51864.184,2.4552745637666837
Cachoeira de Minas,12248.0,537009.365,0.0
Cachoeira Dourada,2346.0,269619.371,283.2757021980676
Caetanópolis,11832.0,315264.292,0.0
Caeté,39850.0,1074938.139,0.0
Caiana,5463.0,88655.637,0.0
Cajuri,4186.0,97321.404,8.66439616161531
Caldas,14588.0,337663.037,0.0
Camacho,2867.0,70874.017,3.802679574339495
Camanducaia,27551.0,990372.51,1.7902925915056545
Cambuí,30870.0,1865719.031,1.5319968700528315
Cambuquira,12560.0,370862.016,252.82051711342507
Campanário,2917.0,53463.895,0.0
Campanha,16334.0,439876.708,161.76887915868863
Campestre,21143.0,486392.176,0.0
Campina Verde,18250.0,536834.437,416.5956543065478
Campo Azul,3802.0,40661.5,7.311879687972495
Campo Belo,53943.0,1244646.672,0.0
Campo do Meio,11624.0,231132.103,2.8082887244946977
Campo Florido,8838.0,710907.242,563.2684490105324
Campos Altos,13136.0,434286.465,22.44295766770017
Campos Gerais,26809.0,704549.965,30.601256352044913
Canaã,4832.0,77460.174,0.0
Canápolis,10755.0,678011.968,405.7070856750999
Cana Verde,5356.0,80137.709,12.370808096755358
Candeias,14236.0,371149.374,12.086635033423647
Cantagalo,4039.0,56760.891,0.0
Caparaó,5144.0,97624.36,0.0
Capela Nova,4416.0,62475.896,0.0
Capelinha,41536.0,888063.358,0.0
Capetinga,6652.0,207279.537,5.001814191770068
Capim Branco,11105.0,123379.12,0.0
Capinópolis,14899.0,666601.289,972.476998147609
Capitão Andrade,4650.0,60812.622,0.0
Capitão Enéas,14401.0,501517.827,338.5348481101155
Capitólio,10863.0,328449.372,0.0
Caputira,9128.0,143750.97,0.0
Caraí,19654.0,210428.036,24.373920455820098
Caranaíba,2960.0,41483.206,0.0
Carandaí,24368.0,751899.12,0.0
Carangola,32165.0,639260.235,0.0
Caratinga,90687.0,2283288.08,24.202291183941817
Carbonita,8633.0,220681.956,185.1525642750034
Careaçu,7029.0,174196.694,6.9655670978757875
Carlos Chagas,18852.0,474792.026,20.071998021064186
Carmésia,2682.0,39788.307,0.0
Carmo da Cachoeira,11776.0,321642.557,2.095969903439863
Carmo da Mata,11279.0,265730.041,0.0
Carmo de Minas,14114.0,290443.145,13.62201075133458
Carmo do Cajuru,24376.0,629040.312,0.0
Carmo do Paranaíba,29899.0,1060224.385,2.6360882034583377
Carmo do Rio Claro,21464.0,694617.337,7.998557289616669
Carmópolis de Minas,18498.0,461604.433,0.0
Carneirinho,9630.0,407481.017,129.0164285807224
Carrancas,4153.0,177651.275,0.0
Carvalhópolis,3417.0,71386.916,0.0
Carvalhos,4507.0,80637.898,2.972726507013394
Casa Grande,2260.0,69241.195,0.0
Cascalho Rico,2757.0,80003.577,2.053149093323722
Cássia,17495.0,436434.833,10.592529385660619
Conceição da Barra de Minas,3596.0,68733.474,0.0
Cataguases,67872.0,1651609.202,0.0
Catas Altas,5668.0,5032357.626,0.0
Catas Altas da Noruega,3141.0,40793.291,0.0
Catuji,7226.0,83288.861,23.67209289546405
Catuti,4805.0,56843.974,0.0
Caxambu,21436.0,371034.549,0.0
Cedro do Abaeté,1091.0,22406.179,0.0
Central de Minas,6243.0,87070.842,0.0
Centralina,10440.0,351070.311,133.0229130244923
Chácara,3177.0,47151.271,0.0
Chalé,6261.0,114181.174,0.0
Chapada do Norte,10024.0,111127.088,0.0
Chapada Gaúcha,12810.0,403117.777,91.94504980639888
Chiador,2865.0,37253.468,0.0
Cipotânea,5599.0,73305.794,0.0
Claraval,4777.0,182017.064,0.0
Claro dos Poções,7259.0,83730.399,122.31366523112818
Cláudio,31665.0,1118679.534,0.0
Coimbra,7285.0,139845.278,0.0
Coluna,8251.0,121196.119,13.558538370073386
Comendador Gomes,2813.0,154809.443,124.35484115515229
Comercinho,6627.0,68128.54,45.165234601671656
Conceição da Aparecida,10668.0,274176.557,0.0
Conceição das Pedras,2837.0,61042.857,0.0
Conceição das Alagoas,29949.0,1318366.994,22.886846883915748
Conceição de Ipanema,4503.0,81015.659,0.0
Conceição do Mato Dentro,24254.0,9051035.533,57.1878923669631
Conceição do Pará,5567.0,494122.167,0.0
Conceição do Rio Verde,12780.0,343578.476,127.97281752414379
Conceição dos Ouros,11183.0,225127.162,0.0
Cônego Marinho,7420.0,63480.188,9.969322015972638
Confins,7676.0,485731.797,0.0
Congonhal,11403.0,220410.748,0.0
Congonhas,54986.0,4115643.68,0.0
Congonhas do Norte,4927.0,49300.47,0.0
Conquista,6864.0,490137.112,944.8439763415656
Conselheiro Lafaiete,137980.0,3118548.686,0.0
Conselheiro Pena,21113.0,383878.478,0.0
Consolação,1578.0,31451.189,0.0
Contagem,649975.0,36479764.963,0.0
Coqueiral,9197.0,234166.145,0.0
Coração de Jesus,26151.0,272890.502,167.64001250679556
